"Time","ankleAngleVel","kneeAngleVel","HipAngleVel","MetheadVel.X","MetheadVel.Z","heelVel.Z","lateralMalleoleiVel.Z","kneeMarkerVel.Z","hipMarkerVel.Z","footRotationAngle","hipAbdAdd","ankleAngle","kneeAngle","hipFlex","trunk.X","hip.X","knee.X","lateralMalleolei.X","heel.X","Methead.X","trunk.Y","hip.Y","knee.Y","lateralMalleolei.Y","heel.Y","Methead.Y","trunk.Z","hip.Z","knee.Z","lateralMalleolei.Z","heel.Z","Methead.Z"
0.74,-286.13,-294.82,-204.21,1.1704,-0.409,-0.335,-0.267,-0.3661,-0.1601,-29.03,138.5,-8.9,16.6,134.9,574.3,556.62,637.69,691.25,695.6,735.41,328.33,329.62,276,230.81,225.62,203.53,389.77,337.6,238.93,109.7,76.58,92.34
0.745,-246.09,-170.99,-197.14,1.0203,-0.5636,-0.4356,-0.3579,-0.3516,-0.1484,-28.3,139.4,-10.2,15.3,135.9,578.77,561.44,641.01,696.05,700.25,741.01,326.91,328.2,275.82,230.06,225.69,203.74,389.03,336.6,237.4,108.32,74.68,90
0.75,-210.79,-65.25,-175.5,0.8692,-0.7182,-0.5397,-0.4571,-0.3476,-0.13,-28.09,139.9,-11.3,14.8,136.7,582.8,565.6,644.59,700.03,703.95,745.3,325.23,326.15,276,230.04,226.6,204.52,388.47,335.7,236.03,106.28,71.98,86.44
0.755,-188.66,17.15,-200.33,0.7212,-0.8635,-0.6426,-0.5583,-0.3561,-0.1068,-28.09,140.3,-12.2,14.9,137.4,586.8,569.83,648.38,703.25,707.02,748.6,323.39,324.17,276.09,230.76,227.99,205.8,387.97,334.96,234.75,103.43,68.46,81.74
0.76,-172.66,54.8,-231.34,0.575,-0.9919,-0.7338,-0.6572,-0.3846,-0.0802,-27.79,140.7,-13.1,15.3,138,590.8,573.96,652.18,706.05,709.13,751.15,321.42,322.08,276.39,232.13,230.13,207.99,387.4,334.26,233.49,99.96,64.46,76.23
0.765,-173.13,34.36,-295.86,0.4478,-1.0962,-0.8099,-0.7469,-0.4258,-0.0503,-27.49,141.5,-13.9,15.6,139.2,594.6,578.58,655.98,707.86,710.67,753.09,318.88,319.52,276.95,233.6,232.82,210.74,386.9,333.98,231.94,96.01,60.01,70.1
0.77,-186.32,-33.38,-358.56,0.3344,-1.1636,-0.8672,-0.8218,-0.479,-0.0281,-26.71,142.3,-14.8,15.9,140.2,598.34,582.86,659.15,709.11,711.56,754.59,316.76,317.24,277.49,235.97,236.09,214.44,386.4,333.9,230.15,91.77,55.37,63.62
0.775,-200.26,-120.82,-413.97,0.2363,-1.1634,-0.8936,-0.8826,-0.5374,-0.0164,-26.08,143.4,-15.6,15.6,141.6,602.17,587.35,661.85,710.07,712.39,755.8,314.92,315,278,238.58,239.79,218.54,386.07,334.09,227.83,87.29,50.56,57.03
0.78,-215.75,-199.97,-468.11,0.1576,-1.0861,-0.8748,-0.915,-0.5979,-0.0167,-25.69,144.5,-16.8,14.6,143,606.27,591.75,663.71,710.89,713.08,756.72,312.53,312.7,278.53,240.98,243.55,222.55,385.7,334.33,225.02,82.49,45.67,50.35
0.785,-190.46,-250.24,-513.67,0.1021,-0.9596,-0.812,-0.9048,-0.6573,-0.0238,-25.48,146,-17.9,13.2,144.8,610.3,596.22,665.36,711.8,713.83,757.36,310.14,309.66,279.2,244.06,247.23,226.48,385.57,334.69,221.57,77.48,40.88,43.92
0.79,-71.96,-262.94,-522.63,0.0674,-0.8256,-0.7244,-0.8482,-0.6992,-0.0466,-25.16,147.3,-19.1,11.9,146.6,614.2,600.49,666.9,712.5,714.31,757.8,307.83,306.74,280.23,247.03,250.51,230.08,385.4,335.09,217.64,72.36,36.09,37.53
0.795,116.28,-262.78,-523.32,0.0399,-0.6966,-0.6291,-0.763,-0.7131,-0.0809,-24.69,149.1,-19.5,10.5,148.7,618.27,605.24,668.52,713.08,714.31,757.73,305.72,303.9,281,249.79,253.32,233.36,385.23,335.2,213.45,67.22,31.32,31.82
0.8,297.12,-286.81,-507.15,0.0182,-0.5686,-0.5337,-0.6702,-0.6835,-0.129,-24.47,150.5,-18.3,9.3,150.2,622.9,610.01,669.97,713.55,714.01,757.12,303.23,301.74,281.99,252.22,255.94,236.33,384.77,334.88,209.16,62.15,27.3,28.27
0.805,349.07,-248.73,-489.65,0.0014,-0.44,-0.4384,-0.5805,-0.616,-0.1738,-24.28,152.4,-15.6,8,152.2,627.71,615.26,671.28,713.99,713.54,756.48,301.01,299.64,282.61,254.56,258,238.63,384.3,334.13,204.86,57.68,24.72,27.43
0.81,278.2,-212.57,-411.25,-0.0096,-0.3185,-0.3453,-0.4809,-0.5131,-0.1309,-24.15,154,-13.2,6.1,153.9,632.74,620.33,672.36,714.96,713.58,756.26,299.22,297.39,282.84,258.23,259.66,240.53,383.63,333.07,200.62,54.72,23.85,28.25
0.815,164.53,-143.7,-249.18,-0.0202,-0.2024,-0.2509,-0.3707,-0.3879,-0.1042,-24.21,155.9,-12.5,5.6,156,637.37,625.49,673.61,716.44,713.92,756.45,297.73,292.25,282.49,259.88,261.07,241.95,382.8,331.65,196.98,53.6,23.8,28.82
0.82,116.25,-25.34,-56.6,-0.0143,-0.1004,-0.1574,-0.2546,-0.2501,-0.0467,-24.36,156.5,-12.7,5.1,156.5,642.54,629.98,675.07,717.98,714.4,756.58,296.48,290.12,282.03,261.06,261.99,242.89,381.67,329.86,194.5,53.62,23.91,28.79
0.825,134.96,-9.57,69.31,-5e-04,-0.0419,-0.0797,-0.1457,-0.112,-0.0441,-24.74,156.5,-12.3,5.1,156.4,647.87,634.1,677.19,718.61,714.64,756.71,295.38,288.24,281.44,261.77,262.35,242.96,380.43,327.64,193.65,53.78,23.88,28.6
0.83,160.67,23.05,247.38,0.0125,-0.0345,-0.0319,-0.0551,0.0204,0.0058,-24.53,155.6,-10.8,5.6,155.5,653.37,637.68,679.51,716.81,714.78,756.79,294.29,286.76,280.76,261.93,262.01,242.83,379.23,325.64,194.22,53.47,23.75,28.35
0.835,122.02,31.83,373.52,0.0136,-0.0562,-0.0157,0.006,0.1399,0.0662,-24.31,155.5,-9.8,5.4,155.3,658.24,642.76,681.97,716.39,714.83,756.88,293.93,285.35,279.54,261.72,261.69,242.69,378.6,328.14,195.91,53.43,23.62,28
0.84,50.25,40.61,477.82,0.0111,-0.0706,-0.0146,0.0299,0.2381,0.1353,-24.13,153.2,-9.5,5.5,153,662.37,644.58,683.94,716.67,714.95,756.79,293.34,284.38,278.11,261.02,261.15,242.41,378.87,329.88,198.24,53.82,23.54,27.41
0.845,19.63,107.24,518.97,0.0107,-0.0699,-0.0152,0.0302,0.2999,0.2102,-23.91,150.8,-9.9,5.1,150.6,665.34,645.28,685.46,718.61,715.08,757.02,292.95,283.66,276.2,260.4,260.75,242.16,380.47,332.86,200.95,54.49,23.45,26.8
0.85,25.29,142.13,349.61,0.009,-0.0666,-0.0142,0.0276,0.3214,0.2892,-23.93,148.6,-9.8,6.4,148.6,667.3,643.66,686.72,719.04,715.27,757.09,292.65,282.94,274.39,259.85,260.43,241.88,382.87,332.67,203.56,54.87,23.32,26.18
0.855,56.13,201.03,124.46,0.0054,-0.061,-0.0117,0.0351,0.304,0.3566,-23.77,148.2,-9.4,7.5,148.3,667.77,643.55,688.11,719.13,715.18,757.1,292.35,282.31,272.46,259.11,260.07,241.61,385.64,334.42,205.88,54.93,23.13,25.71
0.86,73.59,152.72,-152.42,0.0025,-0.0545,-0.0079,0.036,0.2592,0.3264,-23.51,148.4,-9,8.4,148.6,667.57,643.92,689.44,719.28,715.17,756.93,291.93,282.28,270.81,258.32,259.79,241.62,387.8,336.38,207.62,55.02,23.07,25.44
0.865,77.1,115.07,-295.79,0.0075,-0.0401,-0.0056,0.0288,0.1982,0.297,-23.44,149.1,-8.8,9.1,149.4,666.7,644.78,690.93,719.39,715.17,757.01,291.36,282.63,269.4,256,259.64,241.49,389.5,338.41,208.88,55.09,23.07,25.29
0.87,83.46,73.67,-383.85,0.0065,-0.0257,-0.0019,0.0154,0.1294,0.2413,-23.78,150.1,-8.4,9.5,150.4,665.93,646.12,692.31,719.58,715.31,757.12,290.65,283.1,268.18,255.34,259.41,240.98,390.47,340.37,209.49,55.13,23.15,25.29
0.875,88.44,47.11,-330.68,0.0082,-0.0112,0.0027,0.0104,0.065,0.2334,-24.06,151.4,-7.8,9.8,151.6,665.5,647.95,693.86,719.87,715.33,757.16,289.64,283.45,266.93,255.09,259.15,240.48,391.17,342.1,209.72,55.16,23.17,25.27
0.88,83.32,27.74,-249.85,0.0076,-0.0026,0.0079,0.0112,0.0103,0.1894,-24.12,152.8,-7.3,9.9,152.9,665.87,650.26,695.3,719.99,715.33,757.06,288.32,283.45,266.1,254.8,258.94,240.25,391.5,343.47,209.42,55.23,23.17,25.29
0.885,80.83,21.71,-131.88,0.009,0.0025,0.0098,0.0203,-0.0275,0.1362,-24.67,153,-7,10.1,153,667.03,651.88,696.61,720.12,715.3,757.01,287.16,283.23,265.19,254.44,258.97,239.82,391.57,344.46,208.87,55.23,23.22,25.27
0.89,75.13,17.39,-34.22,0.0049,0.0061,0.0106,0.0345,-0.0505,0.0699,-24.98,153.2,-6.7,10,153.1,668.6,653.76,697.94,720.07,715.27,757.17,285.57,283.13,264.74,252.62,258.88,239.36,391.3,344.73,208.15,55.26,23.26,25.4
