"","drink","bites"
"1","beer",27
"2","beer",19
"3","beer",20
"4","beer",20
"5","beer",23
"6","beer",17
"7","beer",21
"8","beer",24
"9","beer",31
"10","beer",26
"11","beer",28
"12","beer",20
"13","beer",27
"14","beer",19
"15","beer",25
"16","beer",31
"17","beer",24
"18","beer",28
"19","beer",24
"20","beer",29
"21","beer",21
"22","beer",21
"23","beer",18
"24","beer",27
"25","beer",20
"26","water",21
"27","water",19
"28","water",13
"29","water",22
"30","water",15
"31","water",22
"32","water",15
"33","water",22
"34","water",20
"35","water",12
"36","water",24
"37","water",24
"38","water",21
"39","water",19
"40","water",18
"41","water",16
"42","water",23
"43","water",20
