"code" "Date" "Group" "Complete" "Speaker" "Process" "Recipient"
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"KS" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"KS" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"TP" 514 "B" 1 "D" "B" "GT"
"TP" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "S" "B" "K"
"IE" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "S" "B" "K"
"IE" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 0 "D" "B" "K"
"TP" 514 "B" 0 "" "B" ""
"TP" 514 "B" 0 "D" "B" ""
"TP" 514 "B" 1 "S" "B" "GT"
"OF" 514 "B" 1 "K" "UC" "GT"
"OF" 514 "B" 1 "S" "UC" "K"
"OF" 514 "B" 1 "D" "UC" "K"
"OF" 514 "B" 1 "S" "UC" "K"
"OF" 514 "B" 1 "K" "UC" "S"
"OF" 514 "B" 1 "D" "UC" "K"
"OF" 514 "B" 1 "K" "UC" "GT"
"OF" 514 "B" 1 "D" "UC" "K"
"OF" 514 "B" 1 "K" "UC" "D"
"OF" 514 "B" 1 "S" "UC" "K"
"OF" 514 "B" 1 "D" "UC" "K"
"OF" 514 "B" 1 "K" "UC" "GT"
"TP" 514 "B" 1 "D" "B" "S"
"OF" 514 "B" 0 "" "B" ""
"OF" 514 "B" 0 "" "B" ""
"OF" 514 "B" 0 "" "B" ""
"TP" 514 "B" 0 "" "B" ""
"TP" 514 "B" 0 "" "B" ""
"TP" 514 "B" 0 "" "" ""
